tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Skam,3,5,Samme tid et helt annet sted,"Nov 4, 2016",9.1,719,"Isak and Even spend time together, and talk about their relationship. Isak have to answer to his friends for ditching his Magnus' birthday that weekend. Isak and Eskild have a talk about homosexuality.",tt5288312
Skam,3,6,Escobar Season,"Nov 18, 2016",9.0,653,"Emma is still angry at Isak, and Isak is not talking to Even either. Jonas reaches out and offers to talk with Isak about his issues. Because of sleep problem Isak decides to go to the eccentric school ""doctor"".",tt5288312
Skam,3,7,Er du homo?,"Nov 25, 2016",9.2,736,"Even is sending Isak some confusing signals, and Isak asks Eskild for advice. Rumors that Isak might be gay is spreading through school. After coming out to Jonas, he encourages Isak to tell Mahdi and Magnus as well.",tt5288312
Skam,3,8,Mannen i mitt liv,"Dec 2, 2016",9.2,732,Isak's dad wants Isak to answer him about going to a church concert with his mom and him. Sana reluctantly tries to tell Isak she was wrong in previous discussion. Even surprise Isak by booking a hotel suite for them.,tt5288312
Skam,3,9,Det går over,"Dec 9, 2016",9.5,1017,"After Even had a manic episode, Isak does some research on bipolar disorder. Isak struggles with getting in touch with Even. Magnus offers some good advice. Isak goes to a church concert with his parents.",tt5288312
Skam,3,10,Minutt for minutt,"Dec 16, 2016",9.3,778,Isak has to take care of Even while he is in a period of depression and get help from Eskild and the other flatmates. Isak hosts a Christmas party for the revue group after Vilde asks him.,tt5288312
Skam,4,1,Du hater å henge med oss,"Apr 14, 2017",8.1,324,"Sana struggles with being a practicing Muslim and hanging with her friends, specially Vilde discussing her sex life. Sana and the rest of the girls goes to a party with Sanas brother Elias and his friends, Yousef, Mikael, Adam and Mutta.",tt5288312
Skam,4,2,"Jeg er gutt, jeg får ikke hat","Apr 21, 2017",8.0,286,"Sana shows interest in Yousef, her brother's friend, and gets protective when Noora also shows interest. The girls get a lead on a bus for the Russ celebration. Sana and Vilde want to buy, but Noora thinks it is too expensive.",tt5288312
Skam,4,3,Hva mener du om drikking?,"Apr 28, 2017",7.9,265,"Yousef helps Sana prepare dinner and they get to know each other better, and start flirting. Sara and Ingrid asks Sana if they are interested in combining their bus crews, and Sana has to host a bus meeting. Even has a question for Sana.",tt5288312
Skam,4,4,Allah hadde digget deg,"May 5, 2017",8.3,287,"Noora reveals the truth about her breakup with William, whereafter Sana brings her along to meet new guys. Elias gets completely smashed, so Yousef calls Sana for help. On the way home, Yousef and Sana share some deep religious insights.",tt5288312
Skam,4,5,Hvis du er trist er jeg trist,"May 12, 2017",8.7,315,"Sana suspects that Sara is hiding something from her. Sana's mother is worried about her recent behavior, which Sana finds very irritating. Elias then reaches out to Sana and gives her some advice. Everyone gathers for a karaoke party.",tt5288312
Skam,4,6,Har du en dårlig dag?,"May 26, 2017",7.7,262,"Sana is furious about recent revelations, which is really getting to her. She tries to discreetly come up with a way to get revenge, but keeps getting distracted in her surroundings. Isak then tells her a story, which gets her attention.",tt5288312
Skam,4,7,Vi må stå sammen,"Jun 2, 2017",8.1,254,"Sana is having a hard time dealing with her feelings towards Yousef. She initiates a social media war, creating turbulence and disunity within the bus group. A surprise awaits Sana at home. Sana and Isak have a discussion.",tt5288312
Skam,4,8,De største loserne på skolen,"Jun 9, 2017",8.7,309,"Sana becomes increasingly anxious about telling the girls the truth behind the Instagram account. By accident, she tells Eva the truth, whereafter Sana becomes devastated. Eva hosts a birthday party, which takes an interesting turn.",tt5288312
Skam,4,9,Livet smiler,"Jun 16, 2017",8.2,264,Sana worries about Noora being off radar with William. Noora encourages Sana to make a move on Yousef.,tt5288312
Skam,4,10,Takk for alt,"Jun 24, 2017",9.3,535,"The point of view of several of the recurring characters are shown, and their lives are explored in the week leading up to Sana's party for Eid.",tt5288312
