tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Justice League Unlimited,2,5,The Balance,"May 28, 2005",7.6,484,"To help her magic superhero friends, the God Hermes sends Wonder Woman on a mission to help free Hades from the clutches of Felix Faust.",https://www.imdb.com/title/tt0618182/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,6,Double Date,"Jun 4, 2005",8.3,552,"Seeking to avenge the death of her parents, the Huntress enlists the help of the Question in tracking down Steven Mandragora, a mobster in protective custody -- and being guarded by the Green Arrow and Black Canary.",https://www.imdb.com/title/tt0618132/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,7,Clash,"Jun 11, 2005",8.3,562,Captain Marvel joins the Justice League and his innocent presence inadvertently causes friction with Superman.,https://www.imdb.com/title/tt0618186/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,8,Hunter's Moon,"Jun 18, 2005",7.4,468,"Shayera, Vixen and Vigilante are lured into an ambush by Thanagarians seeking revenge.",https://www.imdb.com/title/tt0618147/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,9,Question Authority,"Jun 25, 2005",9.0,602,"The Question, fearing disaster, decides to kill Lex Luthor to avert it.",https://www.imdb.com/title/tt0618169/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,10,Flashpoint,"Jul 2, 2005",8.9,587,Lex Luthor executes his masterstroke to eliminate Project Cadmus and frame the Justice League.,https://www.imdb.com/title/tt0618138/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,11,Panic in the Sky,"Jul 9, 2005",9.0,585,"While the senior Leaguers struggle to respond to the mysterious main gun firing, Amanda Waller orders Galatea to lead a full attack on the Justice League.",https://www.imdb.com/title/tt0618165/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,12,Divided We Fall,"Jul 16, 2005",9.3,746,The Justice League charter members must battle the combined Lex Luthor/Brainiac menace alone.,https://www.imdb.com/title/tt0618131/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,13,Epilogue,"Jul 23, 2005",9.1,934,"In the future, Terry McGinnis learns the truth about his birth.",https://www.imdb.com/title/tt0618135/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,3,1,I Am Legion,"Sep 17, 2005",7.9,473,The newly-escaped Lex Luthor is given a membership test for Gorilla Grodd's expanded Secret Society.,https://www.imdb.com/title/tt0618148/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,3,2,Shadow of the Hawk,"Sep 17, 2005",7.6,464,Shayera is approached by an archaeologist who is convinced that he is the reincarnated husband of a previous incarnation of her.,https://www.imdb.com/title/tt0618175/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,3,3,Chaos at the Earth's Core,"Sep 24, 2005",7.1,461,"Green Lantern, Stargirl, S.T.R.I.P.E. and Supergirl are drawn to the subterranean world of Skartaris to assist the Warlord, Travis Morgan.",https://www.imdb.com/title/tt0618127/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,3,4,To Another Shore,"Sep 24, 2005",7.4,460,Wonder Woman finds herself fighting a team from the Secret Society determined to steal the frozen body of the Viking Prince.,https://www.imdb.com/title/tt0618200/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,3,5,Flash and Substance,"Feb 11, 2006",8.5,576,"A day in the life of Wally West aka The Flash. The day includes West at his day job, as a Criminal Lab tech, the dedication of the Flash Museum, and the attacks of four villians.",https://www.imdb.com/title/tt0618137/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,3,6,Dead Reckoning,"Feb 18, 2006",7.9,476,"Deadman calls on Batman, Superman, and Wonder Woman to help him recover an orb containing the souls of a monastic order that was stolen by the Secret Society.",https://www.imdb.com/title/tt0618130/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,3,7,Patriot Act,"Feb 25, 2006",7.8,485,The paranoid General Eiling turns himself into a superstrong brute to kill Superman and only seven non-powered soldiers of the JL can deny him victory.,https://www.imdb.com/title/tt0618168/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,3,8,The Great Brain Robbery,"Mar 4, 2006",8.6,545,Lex Luthor and the Flash accidentally switch bodies.,https://www.imdb.com/title/tt0618190/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,3,9,Grudge Match,"Mar 11, 2006",7.8,474,Roulette enlists the ladies of the JLU in her new & improved all-girl gladiatorial arena.,https://www.imdb.com/title/tt0763461/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,3,10,Far from Home,"Apr 15, 2006",8.0,479,"On her 21st birthday, Supergirl is transported to the 31st century along with Green Lantern and Green Arrow, to help the ""Legion of Super-Heroes"" combat ""The Fatal Five"". However, according to future sources, it is a mission from which she does not return.",https://www.imdb.com/title/tt0766997/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,3,11,Ancient History,"Apr 29, 2006",7.8,474,Hawkman returns with Shadow Thief and discovers the true nature of his relationship with Hawkgirl.,https://www.imdb.com/title/tt0764009/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,3,12,Alive!,"May 6, 2006",8.7,516,"When Lex Luthor sends the Secret Society headquarters into outer space to find the remains of Brainiac, Grodd breaks free of his prison to lead a mutiny.",https://www.imdb.com/title/tt0766995/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,3,13,Destroyer,"May 13, 2006",9.3,801,The resurrected Darkseid leads his force on an all-out attack on Earth in revenge against Superman and the Justice League and Secret Society must join forces to stop him.,https://www.imdb.com/title/tt0766996/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
