tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Rurouni Kenshin: Trust and Betrayal,1,1,Kiru Otoko,"Aug 22, 2000",8.8,152,"Episode of how Kenshin came under the wing of Soujiro Hiko the 13th, how he was trained and how he became a manslayer.",tt0203082
Rurouni Kenshin: Trust and Betrayal,1,2,Mayoi Neko,"Aug 22, 2000",8.7,140,"The second episode details Kenshin's role in the revolution, how he met Tomoe, and how the rebellion was almost quelled.",tt0203082
Rurouni Kenshin: Trust and Betrayal,1,3,Yoi no Satoyama,"Nov 14, 2000",8.9,146,The third episode details how Kenshin lived with Tomoe and married her as a cover until his side replenished its forces to continue the rebellion.,tt0203082
Rurouni Kenshin: Trust and Betrayal,1,4,Juuji Kizu,"Nov 14, 2000",9.3,154,"The fourth episode is about the betrayal against Kenshin, how he lived for the next few years as a manslayer, and the origin of his cross-shaped scar.",tt0203082
