tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Better Call Saul,1,1,Uno,"Feb 8, 2015",8.6,14543,Struggling public defender Jimmy McGill constructs an elaborate yet questionable plan for winning back a pair of wealthy potential clients.,tt3032476
Better Call Saul,1,2,Mijo,"Feb 9, 2015",9.0,13826,Jimmy's latest scam has gone horribly wrong and he's face-to-face with violent criminals and being forced to talk his way out of a life-threatening situation.,tt3032476
Better Call Saul,1,3,Nacho,"Feb 16, 2015",8.8,11551,Jimmy must prove that Nacho is innocent when he is wrongly suspected of kidnapping.,tt3032476
Better Call Saul,1,4,Hero,"Feb 23, 2015",8.6,10286,Jimmy makes a bold move against Hamlin in an effort to attract potential clients.,tt3032476
Better Call Saul,1,5,Alpine Shepherd Boy,"Mar 2, 2015",8.2,9733,"After a strange encounter with the police, Chuck ends up in the hospital. Jimmy meets up with a series of unruly clients.",tt3032476
Better Call Saul,1,6,Five-O,"Mar 9, 2015",9.5,15860,Mike's days as a police officer in Philadelphia catch up to him when he's questioned about a tragic event from his past.,tt3032476
Better Call Saul,1,7,Bingo,"Mar 16, 2015",8.7,9264,"The Kettlemans seek Jimmy as their lawyer after turning down an offer from HHM, going as far as attempting to blackmail him.",tt3032476
Better Call Saul,1,8,RICO,"Mar 23, 2015",8.8,9045,"Jimmy discovers the Sandpiper Retirement Home has been scamming his elderly clients, and prepares to take legal action.",tt3032476
Better Call Saul,1,9,Pimento,"Mar 30, 2015",9.5,12360,Chuck wants to transfer the Sandpiper case to HHM much to Jimmy's dismay. Mike gets a job offer working as a bodyguard.,tt3032476
Better Call Saul,1,10,Marco,"Apr 6, 2015",8.7,9653,Jimmy seizes an opportunity to reconnect with an old friend; Chuck adjusts to a new way of life.,tt3032476
Better Call Saul,2,1,Switch,"Feb 15, 2016",8.4,8086,Jimmy decides to quit the law after turning down a job at Davis & Main. Mike breaks ties with a former associate.,tt3032476
Better Call Saul,2,2,Cobbler,"Feb 22, 2016",8.6,7307,"While Mike attempts to track down Pryce's stolen baseball cards, Jimmy must defend him when the police call him in for further questioning.",tt3032476
Better Call Saul,2,3,Amarillo,"Feb 29, 2016",8.4,6922,Jimmy struggles with client outreach and decides to shoot a TV commercial for Davis & Main. Mike begins an investigation.,tt3032476
Better Call Saul,2,4,Gloves Off,"Mar 7, 2016",9.0,7519,Jimmy and Kim face the repercussions of the TV commercial. Mike makes a deal with Nacho in regards to his newest job offer.,tt3032476
Better Call Saul,2,5,Rebecca,"Mar 14, 2016",8.1,6771,Jimmy chafes under his restrictive work environment; Kim goes to extremes to dig herself from a bottomless hole at HHM.,tt3032476
Better Call Saul,2,6,Bali Ha'i,"Mar 21, 2016",8.5,6674,"Jimmy finds comfort in familiarity; Kim receives a life-changing proposal; when he is threatened, Mike finds himself pushed to the limit.",tt3032476
Better Call Saul,2,7,Inflatable,"Mar 28, 2016",8.5,6619,"When Mike's hand is forced, he can no longer hide his frustration; Mike and Jimmy work together to keep the peace.",tt3032476
Better Call Saul,2,8,Fifi,"Apr 4, 2016",8.5,6545,Mike aims to settle the score with an enemy; an unexpected opportunity presents itself to Jimmy.,tt3032476
Better Call Saul,2,9,Nailed,"Apr 11, 2016",9.4,8452,Mike takes a methodical approach to his mission; someone questions Chuck's capabilities; Jimmy faces a personal dilemma.,tt3032476
Better Call Saul,2,10,Klick,"Apr 18, 2016",9.1,7564,Jimmy must make a hard choice; Mike takes control of matters; Hamlin delivers shocking news.,tt3032476
Better Call Saul,3,1,Mabel,"Apr 10, 2017",8.2,7349,"As Chuck plots his next move, another lie comes back to haunt Jimmy. A rattled Mike tries to find out who's been tracking his movements - and how.",tt3032476
Better Call Saul,3,2,Witness,"Apr 17, 2017",9.1,7580,Jimmy and Kim hire an assistant; Mike seeks out a mysterious acquaintance; and Chuck uses the law to gain an advantage over Jimmy.,tt3032476
Better Call Saul,3,3,Sunk Costs,"Apr 24, 2017",8.6,6571,"Jimmy decides to represent a new client, much to Kim's dismay. Meanwhile, Mike meets a formidable ally who presents him an enticing offer.",tt3032476
Better Call Saul,3,4,Sabrosito,"May 1, 2017",9.0,7172,"Jimmy calls in a favor from Mike. Meanwhile, new complications disrupt the Salamancas' business; and Chuck and Jimmy struggle to compromise.",tt3032476
Better Call Saul,3,5,Chicanery,"May 8, 2017",9.7,14766,Kim and Jimmy face off with an adversary. Jimmy looks to Chuck's past to secure his future. Jimmy loses an ally and gains another.,tt3032476
Better Call Saul,3,6,Off Brand,"May 15, 2017",8.6,6476,Jimmy embarks on a new endeavor. Chuck pushes himself to the limit. Nacho finds himself ensnared in a power struggle.,tt3032476
Better Call Saul,3,7,Expenses,"May 22, 2017",8.4,6215,Jimmy tries to settle his debts. Nacho reunites with an old acquaintance. Mike helps Stacey with a project and makes a meaningful connection.,tt3032476
Better Call Saul,3,8,Slip,"Jun 5, 2017",8.7,6168,Jimmy is pushed to desperate measures. Nacho picks up a skill and Mike explores an alliance. Kim stands up to Hamlin.,tt3032476
Better Call Saul,3,9,Fall,"Jun 12, 2017",8.9,6498,Jimmy visits an old friend and takes up a new pastime; Chuck and Hamlin spar over the future of the firm; and Kim faces challenges at work.,tt3032476
Better Call Saul,3,10,Lantern,"Jun 19, 2017",9.2,7947,"Kim resolves to take some time off from work, while Jimmy does his best to make amends; Nacho takes a major gamble with his future; Hamlin applies pressure on Chuck to finally make a decision.",tt3032476
Better Call Saul,4,1,Smoke,"Aug 6, 2018",8.3,6741,Jimmy struggles to cope with Chuck's tragic incident. Mike ponders his role at Madrigal. Howard makes a startling confession.,tt3032476
Better Call Saul,4,2,Breathe,"Aug 13, 2018",8.9,6735,Jimmy seeks new employment. Gus navigates the fallout from Hector's collapse. Kim endeavors to support Jimmy in the wake of Chuck's death.,tt3032476
Better Call Saul,4,3,Something Beautiful,"Aug 20, 2018",8.6,6105,"Jimmy puts a risky plan into motion; as alliances shift, Nacho finds himself in the crosshairs; Kim contemplates her future.",tt3032476
Better Call Saul,4,4,Talk,"Aug 27, 2018",8.3,5935,A restless Jimmy embarks on a new endeavor while Mike burns bridges; Kim pursues her bliss; Nacho tries to survive a turf war.,tt3032476
Better Call Saul,4,5,Quite a Ride,"Sep 3, 2018",8.7,6047,Jimmy identifies a new market for his talents; Mike vets a potential partnership; Kim drives a hard bargain.,tt3032476
Better Call Saul,4,6,Piñata,"Sep 10, 2018",8.7,5892,"While Jimmy daydreams about reconstituting Wexler-McGill, Kim sets out to secure her own future; Mike puts a plan into motion for Gus.",tt3032476
Better Call Saul,4,7,Something Stupid,"Sep 17, 2018",8.5,5814,Jimmy runs into a problem as he expands his business that only Kim can solve. Gus gets involved in Hector's medical care. Mike has to deal with a setback.,tt3032476
Better Call Saul,4,8,Coushatta,"Sep 24, 2018",8.9,6230,"Jimmy goes to great lengths to right a wrong, as Kim pulls out all the stops for a case; Mike lets his team blow off steam; Nacho receives a visitor.",tt3032476
Better Call Saul,4,9,Wiedersehen,"Oct 1, 2018",9.2,6434,"Jimmy and Kim unburden themselves, risking their relationship in the process; Nacho is forced to make the rounds with Lalo; Mike has cause to worry.",tt3032476
Better Call Saul,4,10,Winner,"Oct 8, 2018",9.6,9783,Jimmy turns the page on his reputation; Lalo tracks a loose end in Gus's operation; Mike is forced to make a difficult decision.,tt3032476
Better Call Saul,5,1,Magic Man,"Feb 23, 2020",8.9,7581,"Now doing business as Saul Goodman, Jimmy unveils an unorthodox strategy that tests Kim's tolerance of his new legal persona. Lalo searches for the mysterious ""Michael.""",tt3032476
Better Call Saul,5,2,50% Off,"Feb 24, 2020",8.9,7097,"Jimmy's promotional stunt has unintended consequences. Nacho takes extreme measures to earn Lalo's trust. Saul is a success at the courthouse, but still has yet to win Kim over. Simmering with rage and self-loathing, Mike loses his temper.",tt3032476
Better Call Saul,5,3,The Guy for This,"Mar 2, 2020",9.1,7327,Jimmy's business enters uncharted territory. Kim's confidence is tested when she's faced with a legal problem only she can solve. Nacho navigates increased pressure from Gus. Mike continues to spiral.,tt3032476
Better Call Saul,5,4,Namaste,"Mar 9, 2020",8.7,6508,"As Jimmy doubles down on ""Saul Goodman"", a deeply conflicted Kim brings him an interesting proposition. Gus makes a sacrifice in order to play the long game. Mike attempts to smooth things over with his family.",tt3032476
Better Call Saul,5,5,Dedicado a Max,"Mar 16, 2020",8.7,6647,"Mike takes an impromptu trip out of town; as she and Jimmy grow closer over their campaign to help a client, Kim makes a surprising call.",tt3032476
Better Call Saul,5,6,Wexler v. Goodman,"Mar 23, 2020",9.4,8593,"Kim tries to pump the brakes on Jimmy's latest scheme, but it may be too late to stop Saul; Mike turns the heat up on Lalo; Nacho attempts to enlist support from above.",tt3032476
Better Call Saul,5,7,JMM,"Mar 30, 2020",9.2,7548,Jimmy and Kim build a legal firewall with help from Huell; Kim sets things straight with her clients as Jimmy is compromised by his; Gus calms troubled waters in service of his plot to build an empire; Mike does damage control.,tt3032476
Better Call Saul,5,8,Bagman,"Apr 6, 2020",9.7,15030,"When a simple errand for a client goes sideways, Jimmy is pushed to the limit; Mike takes measures to contain the wrath of the cartel; Lalo gets an unexpected visitor.",tt3032476
Better Call Saul,5,9,Bad Choice Road,"Apr 13, 2020",9.8,15058,"In the wake of Jimmy's traumatic misadventure, Kim takes stock of what is important; Jimmy attempts to return to business as usual, but it's more difficult than anticipated; Gus and Mike set a plan in motion.",tt3032476
Better Call Saul,5,10,Something Unforgivable,"Apr 20, 2020",9.4,10083,Jimmy and Kim make a sideways move that takes a serious turn; Nacho gets closer to the cartel than he'd like.,tt3032476
Better Call Saul,6,1,Episode #6.1,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt3032476
Better Call Saul,6,2,Episode #6.2,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt3032476
Better Call Saul,6,3,Episode #6.3,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt3032476
Better Call Saul,6,4,Episode #6.4,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt3032476
Better Call Saul,6,5,Episode #6.5,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt3032476
Better Call Saul,6,6,Episode #6.6,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt3032476
Better Call Saul,6,7,Episode #6.7,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt3032476
Better Call Saul,6,8,Episode #6.8,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt3032476
Better Call Saul,6,9,Episode #6.9,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt3032476
Better Call Saul,6,10,Episode #6.10,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt3032476
Better Call Saul,6,11,Episode #6.11,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt3032476
Better Call Saul,6,12,Episode #6.12,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt3032476
Better Call Saul,6,13,Episode #6.13,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt3032476
