tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Twin Peaks,1,1,Episode #1.1,"Apr 8, 1990",8.9,15025,"The small northwest town of Twin Peaks, Washington is shaken up when the body of the Homecoming Queen, Laura Palmer, is discovered washed up on a riverbank, wrapped in plastic.",tt0098936
Twin Peaks,1,2,Episode #1.2,"Apr 12, 1990",8.3,5112,Agent Cooper enjoys the comforts of the Great Northern Hotel. Bobby Briggs and Mike Nelson are released from jail. Doctor Hayward hands over the autopsy report on Laura Palmer.,tt0098936
Twin Peaks,1,3,Episode #1.3,"Apr 19, 1990",9.0,5409,"Ben Horne's brother, Jerry, arrives in Twin Peaks; together they travel to One Eyed Jack's and meet with the madam, Blackie O'Reilly. Audrey leaves a clue for Cooper. Deputy Hawk finds a bloody towel near the crime scene.",tt0098936
Twin Peaks,1,4,Episode #1.4,"Apr 26, 1990",8.3,4534,"Cooper meets with Audrey, who confesses to leaving him the note about One Eyed Jack's. Cooper tells Truman he can't remember who the killer was in his dream, but insists the dream is a code to solving the crime.",tt0098936
Twin Peaks,1,5,Episode #1.5,"May 3, 1990",8.2,4359,"Cooper questions Dr. Jacoby, who suspects Leo Johnson is the killer. Gordon Cole, Cooper's supervisor, calls in with Albert's report. Josie Packard spies on Ben Horne and Catherine Martell. Hawk tracks down the One-Armed Man.",tt0098936
Twin Peaks,1,6,Episode #1.6,"May 10, 1990",8.5,4265,"Cooper and company have tea with the Log Lady, who tells them there was a third man following after Leo and Jacques the night Laura died. At Jacques Renault's cabin Cooper, Hawk, and Truman find Waldo the bird.",tt0098936
Twin Peaks,1,7,Episode #1.7,"May 17, 1990",8.6,4162,"Audrey cons her way into working at the perfume counter where Laura worked and discovers that it's being used as a recruitment post for One Eyed Jack's. James, Donna and Maddy plan to lure Jacoby away from his office.",tt0098936
Twin Peaks,1,8,Episode #1.8,"May 23, 1990",9.1,4633,"Audrey is hired at One Eyed Jack's, but is caught in a trap when her father arrives. Cooper gets Jacques Renault to reveal the details of Laura's last night in the cabin. Deputy Andy saves Truman's life and apprehends Renault.",tt0098936
Twin Peaks,2,1,Episode #2.1,"Sep 30, 1990",9.0,4536,"A wounded Agent Cooper has a vision of a giant who gives him several clues about the murder of Laura Palmer. Shelly and Pete recover from the mill fire, but Josie and Catherine are missing.",tt0098936
Twin Peaks,2,2,Episode #2.2,"Oct 6, 1990",8.6,3879,"Albert determines that neither Leo nor Jacques killed Laura, but he is unable to find any leads into who shot Cooper. Cooper says they must find the third man, who he believes to be Bob, the gray-haired man.",tt0098936
Twin Peaks,2,3,Episode #2.3,"Oct 13, 1990",8.3,3613,"Ronette is attacked in her hospital bed by an unseen person. Jean Renault, brother of Jacques and Bernard, plans to blackmail Ben Horne for the release of Audrey. Donna meets with Harold Smith, a shut-in who had befriended Laura.",tt0098936
Twin Peaks,2,4,Episode #2.4,"Oct 20, 1990",8.1,3548,Leland confesses to killing Jacques Renault. Andy wants to take a new sperm count test. Rumor spreads that a food critic is coming to Twin Peaks. Jean asks Ben to set a trap for Cooper in exchange for Audrey's life.,tt0098936
Twin Peaks,2,5,Episode #2.5,"Oct 27, 1990",8.4,3558,"Cooper remembers the message under his bed. Shelly and Bobby begin Leo's home care. Sternwood hears pretrial motions and declares Leo not fit for trial. Nadine comes home, still thinking she's in high school.",tt0098936
Twin Peaks,2,6,Episode #2.6,"Nov 3, 1990",8.5,3570,James saves the girls from a tormented Harold. Cooper brings Audrey home. Bobby and Shelly learn that their insurance plans have backfired. Donna tries to convince Truman that Harold Smith has Laura's secret diary.,tt0098936
Twin Peaks,2,7,Episode #2.7,"Nov 10, 1990",9.4,5111,"Cooper and the One-Armed Man inspect guests at the Great Northern. Hawk finds Harold Smith dead - with a mysterious suicide note and the diary torn to shreds. Leo speaks to Bobby about ""new shoes.""",tt0098936
Twin Peaks,2,8,Episode #2.8,"Nov 17, 1990",8.6,3547,"Donna and James wonder why Maddy left so suddenly. Norma's mother arrives with the news that she's married a new man, Ernie Niles. Cooper tells Leland they arrested Ben Horne for Laura's murder.",tt0098936
Twin Peaks,2,9,Episode #2.9,"Dec 1, 1990",9.3,4379,Albert returns to examine Maddy. Cooper asks for twenty-four hours to finish his case. James and Donna reaffirm their love. Andy accidentally leads Donna and Cooper back to Mrs. Tremond's house.,tt0098936
Twin Peaks,2,10,Episode #2.10,"Dec 8, 1990",7.8,3375,Leland is laid to rest and Sarah Palmer tries to accept all that has happened to her family. Dr. Jacoby returns from Hawaii. Cooper prepares to leave Twin Peaks. Mayor Milford objects to his brother's engagement to a younger woman.,tt0098936
Twin Peaks,2,11,Episode #2.11,"Dec 15, 1990",7.4,3329,"Mrs. Briggs talks about her husband's disappearance into the woods. Nadine is put on the wrestling team, where she falls for Mike Nelson. James is hired by the mysterious, wealthy Evelyn Marsh. Dick takes on an orphan, Little Nicky.",tt0098936
Twin Peaks,2,12,Episode #2.12,"Jan 12, 1991",7.5,3258,"Ben takes Bobby under his wing in a hope to destroy Hank and Jean. However, Ben's mental state is starting to crack. Cooper starts to look at buying real estate. Major Briggs's supervisor reveals that Briggs was studying the woods.",tt0098936
Twin Peaks,2,13,Episode #2.13,"Jan 19, 1991",7.7,3235,"Major Briggs has no memory of the place he was taken, but now has an odd tattoo on his neck. Andy and Dick break into Little Nicky's files. Mike and Nadine begin an affair. Evelyn asks James to kill her husband.",tt0098936
Twin Peaks,2,14,Episode #2.14,"Feb 2, 1991",7.6,3207,"Windom Earle has taken his first victim in the deadly chess game. Audrey tells Bobby they have to save Ben from his civil war fantasy. Leo awakes and attacks Shelly, but Bobby is able to fend him off.",tt0098936
Twin Peaks,2,15,Episode #2.15,"Feb 9, 1991",7.3,3219,The police look for James in the Marsh murder. Bobby and Shelly tell Truman that Leo escaped; and Bobby reveals that he saw Hank shoot Leo the night the mill burned. Albert returns to Twin Peaks with information on Windom Earle.,tt0098936
