tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Rick and Morty,1,1,Pilot,"Dec 2, 2013",8.0,13922,A strangely eccentric genius scientist and inventor moves into the home of his daughter and her family and begins to strongly influence his young grandson.,https://www.imdb.com/title/tt2169080/,tt2861424,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Rick and Morty,1,2,Lawnmower Dog,"Dec 9, 2013",8.7,13962,Rick helps Jerry out with the dog.,https://www.imdb.com/title/tt3333824/,tt2861424,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Rick and Morty,1,3,Anatomy Park,"Dec 16, 2013",8.3,12723,"It's Christmas. Rick shrinks Morty, injecting him into a homeless man to save Anatomy Park. Jerry tries to have a Christmas free of electronic devices, but regrets his decision when his parents introduce him to their new friend.",https://www.imdb.com/title/tt3333828/,tt2861424,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Rick and Morty,1,4,M. Night Shaym-Aliens!,"Jan 13, 2014",8.7,12813,Rick and Morty try to get to the bottom of a mystery.,https://www.imdb.com/title/tt3333830/,tt2861424,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Rick and Morty,1,5,Meeseeks and Destroy,"Jan 20, 2014",9.0,14288,"Rick provides the family with a solution to their problems, freeing him up to go on an adventure led by Morty.",https://www.imdb.com/title/tt3333832/,tt2861424,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Rick and Morty,1,6,Rick Potion #9,"Jan 27, 2014",9.0,14063,"After Rick gives Morty a love potion for a school dance, things quickly spiral out of control when the serum splices with the flu - causing it to spread. Rick and Morty scramble to cure the crisis, making matters worse in the process.",https://www.imdb.com/title/tt3333834/,tt2861424,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Rick and Morty,1,7,Raising Gazorpazorp,"Mar 10, 2014",8.0,11793,"Morty becomes a father to an alien baby, while Rick and Summer get trapped in a dangerous dimension.",https://www.imdb.com/title/tt3333836/,tt2861424,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Rick and Morty,1,8,Rixty Minutes,"Mar 17, 2014",8.7,13055,"Rick hooks up the family's TV with interdimensional cable, allowing them to watch infinite TV from across the multiverse.",https://www.imdb.com/title/tt3333838/,tt2861424,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Rick and Morty,1,9,Something Ricked This Way Comes,"Mar 24, 2014",8.4,11654,Summer gets a job at a pawn shop owned by the devil. Jerry helps Morty with his science fair project.,https://www.imdb.com/title/tt3333840/,tt2861424,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Rick and Morty,1,10,Close Rick-counters of the Rick Kind,"Apr 7, 2014",9.3,14693,"Rick, falsely blamed for Murder by the council of Ricks, begins a cross-dimensional pursuit with the authorities while attempting to prove his innocence.",https://www.imdb.com/title/tt3333846/,tt2861424,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Rick and Morty,1,11,Ricksy Business,"Apr 14, 2014",8.5,11323,Beth and Jerry head for an iceberg of a date leaving Rick in charge. Morty doesn't get to go on any more adventures if the house isn't in the same condition when they get back.,https://www.imdb.com/title/tt3333854/,tt2861424,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Rick and Morty,2,1,A Rickle in Time,"Jul 26, 2015",8.8,12744,"Having restarted time, Rick, Morty and Summer are in a quantum-uncertain state of existence. An argument leads to the creation of two alternate timelines, which need to be stitched back together fast if they are to escape quantum collapse.",https://www.imdb.com/title/tt4462494/,tt2861424,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Rick and Morty,2,2,Mortynight Run,"Aug 2, 2015",8.8,12040,Rick and Morty try to save a gas life form while Jerry resides in a daycare made for Jerrys.,https://www.imdb.com/title/tt4832254/,tt2861424,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Rick and Morty,2,3,Auto Erotic Assimilation,"Aug 9, 2015",8.5,11813,Rick gets emotional. Beth and Jerry get into a fight.,https://www.imdb.com/title/tt4832260/,tt2861424,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Rick and Morty,2,4,Total Rickall,"Aug 16, 2015",9.5,17163,The Smith house is locked down after parasites threaten to take over the world by multiplying through flashbacks.,https://www.imdb.com/title/tt4832262/,tt2861424,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
