tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Leyla and Mecnun,1,1,Pilot,"Feb 9, 2011",9.0,634,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",tt1831164
Leyla and Mecnun,1,2,Dugun,"Feb 16, 2011",8.8,445,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",tt1831164
Leyla and Mecnun,1,3,Hali Saha,"Feb 23, 2011",8.7,393,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",tt1831164
Leyla and Mecnun,1,4,Fidye,"Mar 2, 2011",8.6,377,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",tt1831164
Leyla and Mecnun,1,5,Sohret,"Mar 9, 2011",8.7,383,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",tt1831164
Leyla and Mecnun,1,6,Banka,"Mar 16, 2011",8.9,386,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",tt1831164
Leyla and Mecnun,1,7,Rüya,"Mar 23, 2011",8.9,365,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",tt1831164
Leyla and Mecnun,1,8,Mantar,"Mar 30, 2011",8.6,330,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",tt1831164
Leyla and Mecnun,1,9,Sihirbaz,"Apr 13, 2011",8.7,339,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",tt1831164
Leyla and Mecnun,1,10,Dünyanin Sonu,"Apr 20, 2011",8.6,336,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",tt1831164
Leyla and Mecnun,1,11,Canta,"Apr 27, 2011",8.6,316,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",tt1831164
Leyla and Mecnun,1,12,Cesek,"May 4, 2011",8.9,338,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",tt1831164
Leyla and Mecnun,1,13,Fake to the Future,"May 11, 2011",9.0,330,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",tt1831164
Leyla and Mecnun,1,14,Evler,"May 18, 2011",8.6,295,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",tt1831164
Leyla and Mecnun,1,15,Arda'nin Dügünü,"May 25, 2011",8.7,305,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",tt1831164
Leyla and Mecnun,1,16,Clone Wars,"Jun 8, 2011",8.5,306,"Arda's father works with a crazy professor. Together, they start cloning people.",tt1831164
Leyla and Mecnun,1,17,Sekerpare,"Jun 13, 2011",9.2,391,Ismail meets a woman and he fells in love. He doesn't know what to do in this situation so he wants help from his friends.,tt1831164
Leyla and Mecnun,1,18,Arda Kalan,"Jun 20, 2011",8.5,291,"Iskender founds his own mafia, ""Godfather"" style. Set on spoiling the peace, Arda's father sends Kamil to wreak havoc in the neighborhood.",tt1831164
Leyla and Mecnun,1,19,Benjamin,"Jun 27, 2011",8.7,306,"Benjamin creates chaos in the neighborhood and separates Leyla and Mecun, but his vendetta is directed against the white-bearded grandpa.",tt1831164
Leyla and Mecnun,1,20,Hoscakal,"Jul 4, 2011",9.3,442,Leyla decides to go to United States and Mecnun can't make her change her decision.,tt1831164
