tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
The Crown,1,1,Wolferton Splash,"Nov 4, 2016",8.3,5722,"A young Princess Elizabeth marries Prince Philip. As King George VI's health worsens, Winston Churchill becomes Prime Minister for the second time.",tt4786824
The Crown,1,2,Hyde Park Corner,"Nov 4, 2016",9.1,5867,"With King George too ill to travel, Elizabeth and Phillip embark on a four-continent Commonwealth tour. Party leaders attempt to undermine Churchill.",tt4786824
The Crown,1,3,Windsor,"Nov 4, 2016",8.2,4607,"With Elizabeth in a new role, Phillip tries to assert some power. Churchill wants to delay the coronation. King George's disgraced brother arrives.",tt4786824
The Crown,1,4,Act of God,"Nov 4, 2016",8.7,4748,"When dense fog cripples London for days and creates a serious health hazard, Churchill's inaction leaves him vulnerable to his political enemies.",tt4786824
The Crown,1,5,Smoke and Mirrors,"Nov 4, 2016",8.6,4437,"Elizabeth rejects protocol by appointing Phillip to coordinate her coronation, but his ideas create conflict. The Duke of Windsor returns to London.",tt4786824
The Crown,1,6,Gelignite,"Nov 4, 2016",8.2,4083,"Margaret and Peter come to Elizabeth with a request. With a royal scandal about to break in the newspapers, the Queen Mother intervenes.",tt4786824
The Crown,1,7,Scientia Potentia Est,"Nov 4, 2016",8.8,4394,"As the Soviets test the H-bomb, both Churchill and Eden have major health crises. Angry about her inadequate education, Elizabeth hires a tutor.",tt4786824
The Crown,1,8,Pride & Joy,"Nov 4, 2016",8.5,4025,Elizabeth and Phillip go on an exhausting world journey. Margaret takes over some of her sister's official duties and tries to liven things up.,tt4786824
The Crown,1,9,Assassins,"Nov 4, 2016",9.1,5027,"As tensions with Phillip increase, Elizabeth spends time with her old friend Porchey. Churchill's portrait is painted for his 80th birthday.",tt4786824
The Crown,1,10,Gloriana,"Nov 4, 2016",8.6,3999,"Margaret and Peter are reunited, but another obstacle stands in their way. Elizabeth is torn between her duty as Queen and her love for her sister.",tt4786824
The Crown,2,1,Misadventure,"Dec 8, 2017",8.3,3719,"As Philip leaves for a long tour, Elizabeth makes an upsetting discovery. Prime Minister Eden wants to strike back after Egypt seizes the Suez Canal.",tt4786824
The Crown,2,2,A Company of Men,"Dec 8, 2017",8.3,3573,Elizabeth feels disconnected from Philip. Eden copes with international pressure and ill health. An interview stirs up harrowing memories for Philip.,tt4786824
The Crown,2,3,Lisbon,"Dec 8, 2017",8.4,3533,Palace insiders try to prevent a scandal that could reflect poorly on Philip. Eden faces censure from his cabinet and the press.,tt4786824
The Crown,2,4,Beryl,"Dec 8, 2017",8.7,4096,"When Elizabeth and Philip throw a grand party for their 10th anniversary, both Margaret and the new Prime Minister experience romantic tribulations.",tt4786824
