tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
One Punch Man,1,1,Saikyô no otoko,"Oct 5, 2015",8.6,4028,One Punch Man is too strong and growing tired of his weak enemies. Will he ever be faced with a real challenge?,tt4508902
One Punch Man,1,2,Kokô no saibôgu,"Oct 12, 2015",8.8,3666,"Genos, a Cyborg who is seeking Justice fights with a Mosquito Monster along with Saitama.",tt4508902
One Punch Man,1,3,Shûnen no kagakusha,"Oct 19, 2015",9.0,3612,Saitama and Genos track down an evil scientist who wants to know the secret to Saitama's power.,tt4508902
One Punch Man,1,4,Imadoki no ninja,"Oct 25, 2015",8.7,3458,"A group of Bald thugs use body armors to terrorize rich people. Sonic Speed, a hired ninja fights them. Unfortunately he meets with Saitama who is also a Bald.",tt4508902
One Punch Man,1,5,Kyûkoku no shi,"Nov 1, 2015",9.0,3532,"Determined to get a little recognition, Saitama decides to become a pro hero, but first, he must pass the Hero Association tests and become a full-fledged member.",tt4508902
One Punch Man,1,6,Saikyô no toshi,"Nov 8, 2015",8.6,3350,"To remain on the ""Hero"" list Saitama has to show some activity in every week. Currently the City Z is defined as the 'ghost town'. Heroes are gathered together to find out whats going on.",tt4508902
One Punch Man,1,7,Shikô no deshi,"Nov 15, 2015",8.9,3376,A giant meteor threatens to destroy City Z. All S-Rank heroes are called to City Z to destroy the meteor before its collision.,tt4508902
One Punch Man,1,8,Shinkai no Ô,"Nov 22, 2015",9.0,3380,Several Sea Folk appear and begin attacking citizens. They are easily defeated until The Deep Sea King appears and defeats many heroes including an S-Class.,tt4508902
One Punch Man,1,9,Fukutsu no seigi,"Nov 30, 2015",9.3,3810,The fight with the Deep Sea King concludes and Saitama and Genos reflect on it as well as Saitama's promotion to B-Class.,tt4508902
One Punch Man,1,10,Katsute nai hodo no kiki,"Dec 7, 2015",8.8,3274,Saitama and all class S heroes are gathered together to be informed of an imminent extremely danger threat.,tt4508902
One Punch Man,1,11,Zen ushû no hasha,"Dec 13, 2015",9.2,3586,An alien conqueror lands in a spaceship to conquer the Earth during the S class heroes meeting.,tt4508902
One Punch Man,1,12,Saikyô no hîrô,"Dec 20, 2015",9.6,5276,Saitama takes on the alien leader in epic battle as the S class heroes fight the alien warriors and destroy the spaceship.,tt4508902
One Punch Man,2,0,A Super Serious Look Back!,"Apr 9, 2019",7.5,202,"Learn the history of One-Punch Man, and get ready for season 2 with a super serious recap.",tt4508902
One Punch Man,2,1,Return of the Hero,"Apr 10, 2019",8.1,1914,"Saitama and Genos are out shopping when they come across G4, a demonic robot on a mission to eliminate King. Meanwhile, Sitch attempts to recruit various assassins and villains.",tt4508902
One Punch Man,2,2,Human Monster,"Apr 17, 2019",8.5,1707,"Garou issues a declaration of war on the Hero Association through terrifying means, Hellish Blizzard gives Saitama an ultimatum, and Genos decides to eliminate his master's stalker, Speed-o'.",tt4508902
One Punch Man,2,3,The Hunt Begins,"Apr 24, 2019",9.0,1883,"Garou attacks the S-rank hero Tank top Master, his followers, and Mumen Rider. Garou continues his pursuit of attacking heroes. Saitama buys a wig to join a martial arts tournament after having a brief exchange with Garou.",tt4508902
One Punch Man,2,4,Metal Bat,"May 1, 2019",7.7,1636,"Assigned to guard a VIP and his son, Metal Bat couldn't be less thrilled. But when the group is suddenly attacked all hell breaks loose. Meanwhile, Saitama has disguised himself as Charanko in order to enter the ""Super Fight"" martial arts tournament.",tt4508902
One Punch Man,2,5,The Martial Arts Tournament,"May 8, 2019",7.5,1574,"Metal bat fights Garo. A lot of monsters surface around multiple cities and it is difficult for all the heroes to fight them. Meanwhile, Saitama is at the tournament and Genos is in the audience.",tt4508902
One Punch Man,2,6,The Uprising of the Monsters,"May 15, 2019",7.7,1489,Saitama continues facing opponents in the tournament. Genos receives a stress signal depicting that there are 5 monsters in City C and goes to kill them. Blizzard tries to fight a monster but she turns out be very strong.,tt4508902
One Punch Man,2,7,Class S Heroes,"May 22, 2019",8.8,1761,"As the Super Fight tournament heads for its grand finale, the Class S heroes battle to hold back the tide of monster incursions. Meanwhile, Atomic Samurai is setting in motion a plan of his own.",tt4508902
One Punch Man,2,8,The Resistance of the Strong,"May 29, 2019",8.6,1677,"Goketsu, the first Super Fight Tournament champion, arrives in the stadium. Having now become a monster, he's aiming to force the Super Fight competitors to turn into monsters themselves. When several do, it's up to Suiryu to take them on alone.",tt4508902
One Punch Man,2,9,The Troubles of the Strongest,"Jun 12, 2019",8.1,1387,"Saitama returns to the battle, but is starting to get through a gloomy state because of an obvious reason.",tt4508902
One Punch Man,2,10,The Encircling Net of Justice,"Jun 19, 2019",7.9,1305,"The Monster Association invited all of the S-Class heroes to their hideout in City Z. Meanwhile, Garo encounters a serious threat.",tt4508902
One Punch Man,2,11,Everyone's Dignity,"Jun 26, 2019",9.1,1675,Garou continues his fight against the A Class heroes while some prominent S Class heroes make special entrances.,tt4508902
One Punch Man,2,12,Cleaning Up the Disciple's Mess,"Jul 3, 2019",8.8,1580,"As the fight continues between Garou and his former master, Bang, a prominent threat from the Monster Association reappears.",tt4508902
