tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
"I, Claudius",1,1,A Touch of Murder,"Sep 20, 1976",8.3,375,"In 54 AD, elderly and lame from birth Emperor Claudius is writing his biography and the history of his family. He recalls an encounter with the Sibyl, who recognizes him from his stutter and tells him that his account will be famous in 1900 years time. Back in Rome in 24 BC, Emperor Augustus is celebrating the anniversary of the battle of Actium, when he and his frien... Read all",https://www.imdb.com/title/tt1255275/,tt0074006,The history of the Roman Empire as experienced by one of its rulers.
"I, Claudius",1,2,Family Affairs,"Sep 20, 1976",8.3,273,"It is now 9 BC. Livia has poisoned Agrippa and Tiberius is being forced to divorce his wife Vipsania to marry Julia. Neither Tiberius nor Julia are happy with this arrangement and Julia also confesses to Antonia, daughter of Mark Antony and wife of Tiberius' popular brother Drusus Germanicus, that she believes Livia killed Marcellus. Drusus is all for a return to the ... Read all",https://www.imdb.com/title/tt2384005/,tt0074006,The history of the Roman Empire as experienced by one of its rulers.
"I, Claudius",1,3,Waiting in the Wings,"Sep 27, 1976",8.5,304,"Whilst Tiberius in exile derives some comfort from hearing of the mysterious death of Gaius, Antonia confesses to Julia her disappointment in Claudius. She chastises his siblings Germannicus and Livilla for shunning him but still feels that he is stupid. However everybody is amazed when an eagle drops a wolf cub into Claudius's arms and an augur reader interprets this... Read all",https://www.imdb.com/title/tt1255283/,tt0074006,The history of the Roman Empire as experienced by one of its rulers.
"I, Claudius",1,4,What Shall We Do About Claudius?,"Oct 4, 1976",8.5,296,"Six years have passed. Germanicus has joined Tiberius in the Germanian campaign, to avenge the Roman legion slaughtered at the Battle of the Teutoburg Forest. Claudius remains at home, researching his family history and despised for his weakness - he faints at the gladiatorial games. In the library Pollio the historian advises him to accentuate his deficiencies. That ... Read all",https://www.imdb.com/title/tt1255284/,tt0074006,The history of the Roman Empire as experienced by one of its rulers.
"I, Claudius",1,5,Poison Is Queen,"Oct 11, 1976",8.9,301,Germanicus returns from Germania in triumph and he and Claudius catch up on family news - Claudius now has a son but is not enjoying married life. He tells Germanicus what Postumus had passed onto him about Livia's murderous exploits and Germanicus in turn tells the emperor. Augustus is pleased with Claudius and apologizes to him for doubting his capabilities. As Augu... Read all,https://www.imdb.com/title/tt1255279/,tt0074006,The history of the Roman Empire as experienced by one of its rulers.
"I, Claudius",1,6,Some Justice,"Oct 18, 1976",8.4,286,"Tiberius, aided by Sejanus, is proving to be a harsh ruler with only Germanicus able to keep him under control. However, whilst he is in Syria Germannicus is mysteriously poisoned. His widow Agrippina is able to rally public support due to his popularity and accuses Piso, the governor of Syria, of being the slayer. Despite claiming an alibi, Piso and his wife Plancina... Read all",https://www.imdb.com/title/tt1255282/,tt0074006,The history of the Roman Empire as experienced by one of its rulers.
"I, Claudius",1,7,Queen of Heaven,"Oct 25, 1976",8.6,295,"Tiberius embarks on a series of acts of debauchery, having sex with anybody he pleases, with Caligula a willing participant. Livia is shocked and Tiberius arranges to give her a horoscope for her birthday to suggest to her that she has not long to live. Augustus's son Castor is perturbed at the free hand given Sejanus in bringing to trial anybody Tiberius feels is opp... Read all",https://www.imdb.com/title/tt1255280/,tt0074006,The history of the Roman Empire as experienced by one of its rulers.
"I, Claudius",1,8,Reign of Terror,"Nov 1, 1976",8.8,296,"Sejanus divorces his wife in order to marry Livilla but Tiberius refuses permission and suggests that he marries Livilla's daughter Helen instead, which so enrages Livilla that she poisons Helen. With Tiberius spending most of his time on Capri Sejanus seems to hold absolute power in Rome and, to consolidate his position, has Agrippina and her son Nero banished and he... Read all",https://www.imdb.com/title/tt1255281/,tt0074006,The history of the Roman Empire as experienced by one of its rulers.
"I, Claudius",1,9,"Zeus, by Jove!","Nov 8, 1976",8.7,285,"Tiberius summons Caligula and his cousin Gemellus to Capri, declaring them his joint successors. Soon afterwards Tiberius is smothered by Macro, on the orders of Caligula, and his death is hailed joyfully by the citizens of Rome, unaware that worse is to come. Caligula, clearly unstable, sinks into a coma and on recovering, in addition to having Gemellus executed for ... Read all",https://www.imdb.com/title/tt1255285/,tt0074006,The history of the Roman Empire as experienced by one of its rulers.
"I, Claudius",1,10,Hail Who?,"Nov 15, 1976",8.8,289,"Caligula has not only made his horse a senator but has turned the palace into a brothel, selling off senators and their wives for sex. Although scared of him - and getting thrown into a river for his pains - Claudius is seemingly the only person who can put any sort of brake on the mad emperor, intervening to save mens' lives on at least two occasions, the second when... Read all",https://www.imdb.com/title/tt1255277/,tt0074006,The history of the Roman Empire as experienced by one of its rulers.
"I, Claudius",1,11,Fool's Luck,"Nov 22, 1976",8.6,263,"Claudius accepts the crown and spares all the conspirators except Cassius for killing Caligula's wife and family. He also deifies Livia. Messalina, having borne him children, persuades him to let her rule alongside him and brings in senator Silanus as an aide, Silanus marrying Domitia, Messalina's mother. However Messalina attempts to seduce Silanus, leading him to tr... Read all",https://www.imdb.com/title/tt1255276/,tt0074006,The history of the Roman Empire as experienced by one of its rulers.
"I, Claudius",1,12,A God in Colchester,"Nov 29, 1976",8.7,263,"Whilst Claudius is invading Britain, Messalina is challenging the prostitute Scylla to see who can take the most partners, Messalina easily winning. She also takes the young senator Silius as her lover, forcing him to divorce his wife so that she can marry him whilst sending Claudius a divorce decree when he is away. She hopes that Rome will rally with her against her... Read all",https://www.imdb.com/title/tt1255274/,tt0074006,The history of the Roman Empire as experienced by one of its rulers.
"I, Claudius",1,13,Old King Log,"Dec 6, 1976",8.7,263,"AD 54: Claudius feels that Rome should return to be a Republic but nonetheless marries his niece Agripinilla and makes her son Nero co-heir with his own, teen-aged son Britannicus. Aware of a prophecy that Nero will indeed become sole emperor Claudius encourages Britannicus to flee abroad and then return to restore the Republic but the boy refuses and he is killed by ... Read all",https://www.imdb.com/title/tt1255278/,tt0074006,The history of the Roman Empire as experienced by one of its rulers.
